mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900246,Lal Sinh Vadodia,Elected,10-04-2014,09-04-2020,First Term,N/A,Gujarat,Bharatiya Janata Party,Male,Professional Graduate,"B.E. (Civil)Educated at Birla Viswakarma Mahavidyalaya, Sardar Patel University, Anand, Gujarat",68,44,0,820,0.909313725, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,56.20833333,2.236111111,284.8293651,0.855704017,Rajya Sabha
900072,B. S. Gnanadesikan,Elected,25-07-2007,24-07-2013,Second Term,N/A,Tamil Nadu,Indian National Congress,Male,Professional Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Dr. Ambedkar Law College, Chennai",75,22,0,200,0.539936102, Data corresponds to the period from 01-06-2009 to 09-08-2024.,32.94030559,0.968051246,254.0137784,0.797189314,42.8627451,0.696078431,287.3562092,0.716988582,Rajya Sabha
900266,Madhusudan Devram Mistry,Elected,10-04-2014,09-04-2020,First Term,N/A,Gujarat,Indian National Congress,Male,Post Graduate,"M.A., Diploma on Development Studies (Completed one year of two years course), Certificate Course in Advocacy Studies, Course for Trade Union Officer, Indian Institute of Management (IIM, Ahmedabad)",79,119,0,50,0.816176471, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,56.20833333,2.236111111,284.8293651,0.855704017,Rajya Sabha
900523,Sonal Mansingh,Nominated,14-07-2018,13-07-2024,First Term,N/A,N/A,Bharatiya Janata Party,Female,Doctorate,Information not available,80,100,0,92,0.732087227, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.8774541,1.402770352,253.621355,0.797189314,N/A,N/A,N/A,N/A,Rajya Sabha
900522,Smriti Zubin Irani (RS),Elected,18-08-2011,22-05-2019,Second Term,N/A,Gujarat,Bharatiya Janata Party,Female,Graduate,"Educated at Holy Child Auxilium, Delhi and School of Correspondence and Continuing Education, University of Delhi, Delhi",48,51,0,340,0.728723404,"This MP was appointed a minister in May 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 21st Feb, 2014. Data corresponds to the period from 01-06-2009 to 09-08-2024.",20.97777587,0.371741283,145.1635264,0.797189314,19.71328671,0.727272727,170.041958,0.855704017,Rajya Sabha
900633,Luizinho Joaquim Faleiro,Elected,29-11-2021,11-04-2023,First Term,N/A,West Bengal,All India Trinamool Congress,Male,Post Graduate,"B.Com., LL.B., M.Com. Educated at Bombay University and Karnataka University",72,9,0,57,0.348837209, Data corresponds to the period from 01-06-2009 to 09-08-2024.,42.22450025,0.503376529,83.7675536,0.797189314,87.9375,0.9375,84.6875,0.710191158,Rajya Sabha
900005,A. Vijayaraghavan,Elected,03-04-2004,02-04-2010,Second Term,N/A,Kerala,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B. Educated at St. Gemmas U.P. School, Government High School, Malappuram, Government College, Malappuram and Government Law College, Kozhikode",68,12,0,82,0.735294118, Data corresponds to the period from 01-06-2009 to 09-08-2024.,8.405211727,0.204427143,62.96507346,0.797189314,9,N/A,89.71428571,0.781809727,Rajya Sabha
900500,Shamsher Singh Manhas,Elected,23-02-2015,10-02-2021,First Term,N/A,Jammu and Kashmir,Bharatiya Janata Party,Male,Graduate,Information not available,64,30,0,81,0.957333333, Data corresponds to the period from 01-06-2009 to 09-08-2024.,93.82728887,1.279838907,299.7994287,0.797189314,77.5,0.25,59.75,0.82951221,Rajya Sabha
900356,P.R. Rajan,Elected,02-07-2006,01-07-2012,First Term,N/A,Kerala,Communist Party of India (Marxist),Male,Graduate,"B.Sc. Educated at Government Victoria College, Palakkad (Kerala)",88,9,0,72,0.32231405, Data corresponds to the period from 01-06-2009 to 09-08-2024.,27.34962762,0.729951715,195.8732447,0.797189314,33.25,0.642857143,282.9642857,0.781809727,Rajya Sabha
900618,Sushil Kumar Modi,Elected,26-11-2020,02-04-2024,First Term,N/A,Bihar,Bharatiya Janata Party,Male,Graduate,"B.Sc. Botany (Hons.) Educated at Patna Science College, Patna University, Bihar",72,63,0,282,0.961748634, Data corresponds to the period from 01-06-2009 to 09-08-2024.,71.6365885,0.882574224,152.3730845,0.797189314,43.27893773,0.883333333,105.3655678,0.828824349,Rajya Sabha
