id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession,assets_ns,liabilities_ns,cases_ns,serious_cases_ns,income_ns,gender_encoded,house_encoded,education_encoded
626,Lok Sabha,Tamil Nadu,Mayiladuthurai,Ramalingam S,DMK,74,M,13355095,215000,0,0,Graduate,Y,251678,Agriculture,0.00024930971250609446,0.00010248856537459569,0.0,0.0,9.601982034540455e-05,1,0,5
627,Lok Sabha,Bihar,Katihar,Dulal Chandra Goswami,JD(U),51,M,13302734,3130766,1,2,Graduate,Y,293990,Agriculture & Social Service,0.0002483218065850539,0.001492407980760751,0.004901960784313725,0.03636363636363636,0.00011216263234508175,1,0,5
628,Lok Sabha,Uttar Pradesh,Sambhal,Dr. Shafiqur Rehman Barq,SP,86,M,13296671,0,0,0,Graduate,Y,0,Pension,0.0002482074146979764,0.0,0.0,0.0,0.0,1,0,5
629,Lok Sabha,West Bengal,Howrah,Prasun Banerjee,AITC,64,M,13216066,0,1,0,Graduate,Y,1241050,Social Worker,0.0002466866233310149,0.0,0.004901960784313725,0.0,0.0004734835704339049,1,0,5
630,Rajya Sabha,Madhya Pradesh,2018-2024,Kailash Soni,BJP,67,M,13192901,42000,0,0,Graduate Professional,Y,0,Income from Mesa Baggage Fund and Agriculture Income,0.0002462495644386923,2.0021022073176834e-05,0.0,0.0,0.0,1,1,6
631,Lok Sabha,Gujarat,Kheda,Chauhan Devusinh,BJP,54,M,13023202,995240,0,0,Others,Y,607635,Farmer and Animal Husbandry,0.00024304781796909383,0.00047442195257401217,0.0,0.0,0.00023182401137795077,1,0,9
632,Lok Sabha,Assam,Kokrajhar,Naba Kumar Sarania,IND,50,M,13013994,175069,5,14,12th Pass,Y,3752284,,0.00024287408871027637,8.345381698402369e-05,0.024509803921568627,0.2545454545454545,0.001431565872126034,1,0,1
633,Rajya Sabha,Assam,2022-2028,Pabitra Mergherit,BJP,47,M,13008631,2497927,0,0,Others,Y,1194325,Cultural Activist,0.00024277290386937302,0.001190739323909152,0.0,0.0,0.0004556571171656851,1,1,9
634,Rajya Sabha,Tamil Nadu,2022-2028,Thiru. R. Dharmar,AIADMK,52,M,13000718,0,0,0,Graduate,Y,0,"Agriculture, Politics",0.00024262360764597786,0.0,0.0,0.0,0.0,1,1,5
635,Rajya Sabha,West Bengal,2018-2024,Abir Ranjan Biswas,AITC,46,M,13000707,500000,0,0,Post Graduate,Y,487230,"Advocate, Information Technology Consultant",0.00024262340010668086,0.0002383455008711528,0.0,0.0,0.00018588727289191531,1,1,10
636,Lok Sabha,Kerala,Mavelikkara,Kodikunnil Suresh,INC,56,M,12965129,982819,1,0,Graduate Professional,Y,419444,Social Worker,0.00024195214255127173,0.00046850097364137104,0.004901960784313725,0.0,0.0001600256578841133,1,0,6
637,Lok Sabha,Jharkhand,Lohardaga,Sudarshan Bhagat,BJP,52,M,12947303,525000,0,0,Graduate,Y,1315693,"M.P., Central Govt State Minister (Govt.Of India )",0.00024161581568684078,0.0002502627759147104,0.0,0.0,0.0005019612579951619,1,0,5
638,Lok Sabha,Jharkhand,Rajmahal,Vijay Kumar Hansdak,JMM,36,M,12919555,2743560,0,0,10th Pass,Y,1813200,Social Worker & Business,0.0002410922883764947,0.00130783036474012,0.0,0.0,0.000691769396809763,1,0,0
639,Rajya Sabha,Kerala,2022-2028,Sandosh Kumar,CPI,51,M,12776818,2100000,0,0,Graduate Professional,Y,0,"Social Worker, Advocate",0.00023839923959110946,0.0010010511036588417,0.0,0.0,0.0,1,1,6
640,Lok Sabha,Bihar,Gaya,Vijay Kumar,JD(U),55,M,12766141,3148932,3,5,12th Pass,Y,533280,Business( Transport),0.000238197794402535,0.0015010675494984017,0.014705882352941176,0.09090909090909091,0.00020345620115305008,1,0,1
641,Lok Sabha,Assam,Jorhat,Topon Kumar Gogoi,BJP,50,M,12597461,455398,0,0,Post Graduate,Y,1174406,"MLA, Tea,Cultivation",0.00023501527361872434,0.00021708412881144248,0.0,0.0,0.0004480576495862379,1,0,10
642,Lok Sabha,West Bengal,Arambag,Aparupa Poddar (Afrin Ali),AITC,33,F,12527597,4244000,1,0,Post Graduate,Y,1430473,Profession,0.00023369713494170188,0.002023076611394345,0.004901960784313725,0.0,0.0005457519547554887,0,0,10
643,Rajya Sabha,Kerala,2018-2024,Binoy Viswam,CPI,62,M,12509618,0,2,0,Graduate Professional,Y,0,Social Activities,0.00023335792139432144,0.0,0.00980392156862745,0.0,0.0,1,1,6
644,Lok Sabha,Kerala,Kozhikode,M.K.Raghavan,INC,66,M,12502009,3174805,1,3,Graduate,Y,609062,Social Worker,0.00023321436080240768,0.0015134009757864805,0.004901960784313725,0.05454545454545454,0.000232368438318855,1,0,5
645,Rajya Sabha,Rajasthan,2018-2024,Bhupender Yadav,BJP,48,M,12485915,4044797,0,0,Graduate Professional,Y,448037,Advocate,0.00023291071194365354,0.0019281183337742723,0.0,0.0,0.00017093441718423548,1,1,6
646,Lok Sabha,Maharashtra,Jalgaon,Unmesh Bhaiyyasaheb Patil,BJP,41,M,12324604,2529954,1,0,Graduate Professional,Y,1910890,Agriculture And Business,0.0002298672236216398,0.001206006306621953,0.004901960784313725,0.0,0.0007290399419092256,1,0,6
647,Rajya Sabha,West Bengal,2018-2024,Md. Nadimul Haque,AITC,48,M,12285073,0,0,0,Graduate,Y,937660,Business,0.00022912138398976394,0.0,0.0,0.0,0.00035773466391608337,1,1,5
648,Rajya Sabha,Gujarat,2020-2026,Shaktisinh Gohil,INC,60,M,11991079,0,1,0,Post Graduate,Y,530440,"Lawyer, Agriculture, Social And Political Work",0.0002235745377998444,0.0,0.004901960784313725,0.0,0.00020237268853064784,1,1,10
649,Lok Sabha,Andhra Pradesh,Anantapur,Talari Rangaiah,YSRCP,48,M,11773091,1135547,1,1,Doctorate,Y,1413794,voluntarily retired from government sevice.(G.O.ENCLOS ED),0.00021946171268352169,0.0005413050369554699,0.004901960784313725,0.01818181818181818,0.0005393886072100496,1,0,4
650,Lok Sabha,Odisha,Berhampur,Chandra Sekhar Sahu,BJD,68,M,11716989,0,0,0,10th Pass,Y,345000,Social Worker,0.0002184032245342844,0.0,0.0,0.0,0.0001316238925101303,1,0,0
651,Lok Sabha,Odisha,Bargarh,Suresh Pujari,BJP,58,M,11673429,0,0,0,Post Graduate,Y,752413,Advocate,0.00021758136891807152,0.0,0.0,0.0,0.00028705950097166567,1,0,10
652,Lok Sabha,West Bengal,Jalpaiguri,Jayanta Kumar Roy,BJP,51,M,11625047,1352581,0,0,Graduate Professional,Y,945010,Doctor,0.00021666853562092705,0.0006447631918276094,0.0,0.0,0.0003605388251043427,1,0,6
653,Rajya Sabha,Odisha,2022-2026,Niranjan Bishi,BJD,53,M,11617594,2134761,17,15,Graduate Professional,Y,338910,"Social Worker, Agriculture",0.00021652791831358926,0.001017621359570406,0.08333333333333333,0.2727272727272727,0.00012930044466842973,1,1,6
654,Rajya Sabha,Kerala,2018-2024,Elamaram Kareem,CPI(M),64,M,11423120,296000,4,0,12th Pass,Y,0,Social Service,0.0002128587367454674,0.00014110053651572243,0.0196078431372549,0.0,0.0,1,1,1
655,Lok Sabha,Gujarat,Junagadh,Chudasama Rajeshbhai Naranbhai,BJP,36,M,10866041,1481768,1,1,12th Pass,Y,988435,"N.R,Chudasama Firm (Proprietor)",0.00020234821092305545,0.0007063454722696926,0.004901960784313725,0.01818181818181818,0.0003771062672268134,1,0,1
656,Lok Sabha,Telangana,Nagarkurnool,Pothuganti Ramulu,TRS,66,M,10778684,0,0,0,Graduate,Y,762856,Agriculture,0.00020070002816213926,0.0,0.0,0.0,0.000291043698970168,1,0,5
657,Rajya Sabha,Uttar Pradesh,2022-2028,Darshna Singh,BJP,47,F,10773206,965280,0,0,Post Graduate,Y,499150,House Wife,0.00020059667359222157,0.0004601402901618127,0.0,0.0,0.00019043497375777256,0,1,10
