id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession
441,Lok Sabha,Odisha,Koraput,Saptagiri Sankar Ulaka,INC,40,M,37587560,1217963,0,0,Graduate Professional,Y,2488671,Computer Engineering (Software Professional)
442,Rajya Sabha,Haryana,2018-2024,Devender Paul Vats,BJP,67,M,37536850,0,0,0,Post Graduate,Y,5009938,Doctor
443,Lok Sabha,Karnataka,Gulbarga,Dr. Umesh G Jadhav,BJP,60,M,37490597,0,0,0,Post Graduate,Y,2912514,Doctor
444,Lok Sabha,Bihar,Madhepura,Dinesh Chandra Yadav,JD(U),67,M,37420953,700000,1,0,Graduate Professional,Y,939930,Agriculture & MLA Income & Pension
445,Lok Sabha,Rajasthan,Churu,Rahul Kaswan,BJP,42,M,36723865,15163379,0,0,Graduate,Y,491500,Agriculture
446,Lok Sabha,Madhya Pradesh,Shahdol,Himadri Singh,BJP,32,F,36564408,1736289,0,0,Graduate,Y,336000,Agriculture & Social Work
447,Rajya Sabha,Odisha,2018-2024,Prashanta Nanda,BJD,70,M,36554167,0,1,0,Post Graduate,Y,355130,"Social Worker, Film Director & Working for Development of Odia Literature & Culture"
448,Rajya Sabha,Madhya Pradesh,2018-2024,Dharmendra Pradhan,BJP,49,M,36021214,8942692,3,2,Post Graduate,Y,716092,"Member of Parliament (Rajya Sabha) Union Cabinet Minister, Govt. of India, Minister of Petroleum & Natural Gas, Skill Development & Enterpreneurship"
449,Lok Sabha,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,BJP,64,M,35900763,828961,0,0,12th Pass,Y,649062,Farmer
450,Lok Sabha,Haryana,Kurukshetra,Nayab Singh,BJP,49,M,35785621,5720000,0,0,Graduate Professional,Y,3313352,"MLA, Naraingarh & State Minister, Labour & Employment, Mines & Geology Department & One Under Construction Stone Crusher at Himachal Pradesh"
451,Lok Sabha,West Bengal,Hooghly,Locket Chatterjee,BJP,45,F,35655698,0,14,27,Graduate,Y,557860,Actress
452,Rajya Sabha,Uttar Pradesh,2022-2028,Javed Ali Khan,SP,55,M,35447511,0,1,1,Post Graduate,Y,9402,Agriculture
453,Rajya Sabha,Andhra Pradesh,2022-2028,Ryaga Krishnaiah,YSRCP,68,M,35069438,3926492,0,0,Post Graduate,Y,688722,Agriculture
454,Rajya Sabha,Himachal Pradesh,2018-2024,J.p. Nadda,BJP,57,M,34988502,2887803,0,0,Graduate Professional,Y,3041797,Member of Parliament Rajyasabha
455,Lok Sabha,Chhattisgarh,Durg,Vijay Baghel,BJP,59,M,34429027,8748686,0,0,Graduate,Y,816029,Business
456,Lok Sabha,Punjab,Amritsar,Gurjeet Singh Aujla,INC,46,M,34011739,9031565,0,0,12th Pass,Y,1656010,Self Employed
457,Lok Sabha,West Bengal,Kanthi,Sisir Kumar Adhikari,AITC,77,M,33979650,0,3,2,12th Pass,Y,900000,Salary
458,Lok Sabha,Bihar,Purvi Champaran,Radha Mohan Singh,BJP,69,M,33791375,1146627,1,1,Graduate,Y,951424,Agriculture
459,Rajya Sabha,Bihar,2020-2026,Vivek Thakur,BJP,51,M,33748107,4044500,0,0,Graduate Professional,Y,269166,Agriculture & Business
460,Lok Sabha,Gujarat,Kachchh,Chavda Vinod Lakhamshi,BJP,40,M,33508455,12458607,0,0,Post Graduate,Y,762464,nan
